Actual,Predicted,TCN_trend,TCN_volatility,TCN_momentum
23933.23046875,24418.224763767048,2.9908528,0.50762504,2.9910326
23997.48046875,24308.530247714465,2.988915,0.5591022,2.9891067
23930.669921875,24374.523331528126,2.9881074,0.5550137,2.9887927
24091.619140625,24307.356892706113,2.9879227,0.5257593,2.9892852
24276.48046875,24472.32441786639,2.9896162,0.5232421,2.9898138
24323.580078125,24661.825322319793,2.9905617,0.5198278,2.9910152
24304.4609375,24711.001168833085,2.9912171,0.49667126,2.9919243
24174.3203125,24690.771235503675,2.9904478,0.5129044,2.9914865
23987.560546875,24557.001071834686,2.9893775,0.524117,2.99059
23948.900390625,24365.244256432376,2.9882529,0.53495204,2.9890127
23771.44921875,24325.448316945884,2.9882636,0.53953433,2.9883268
23516.23046875,24143.64294341623,2.987678,0.5406011,2.987906
23699.119140625,23881.64325831693,2.986625,0.5542194,2.9865627
23434.650390625,24068.52661261001,2.9870834,0.56398195,2.9870396
23317.810546875,23798.34120944995,2.98561,0.54829365,2.9871287
23057.380859375,23677.64173046822,2.9851665,0.57164586,2.985849
23350.55078125,23409.08538842117,2.9811847,0.61047214,2.9827864
23269.009765625,23710.045023088358,2.984182,0.5956563,2.9846673
23641.580078125,23627.469154507817,2.9838836,0.5758635,2.9857776
23498.330078125,24009.1178656489,2.987656,0.5743318,2.9877462
23649.30078125,23862.240973828924,2.9856944,0.5778345,2.9879003
24033.220703125,24016.7778132896,2.9871802,0.5795835,2.987748
23909.609375,24410.059490091848,2.9875097,0.57783747,2.989108
23673.2890625,24285.447422737685,2.9887626,0.5338072,2.9899256
23790.109375,24041.118619231172,2.9873052,0.5843338,2.9874568
23934.130859375,24160.1185145616,2.986786,0.59732234,2.986533
23787.44921875,24309.446745934976,2.987796,0.5592275,2.9884434
24073.669921875,24160.27294387591,2.9884195,0.53491163,2.9888787
24206.91015625,24452.289762770826,2.9895778,0.5608892,2.9892778
24549.560546875004,24590.33044976226,2.9900637,0.52539635,2.991026
24456.810546875,24942.353533444224,2.99184,0.50023174,2.9924114
