Actual,Predicted
38700.87109375,38650.063528968014
38686.30859375,38701.00560770509
37047.609375,38674.17354344242
36657.08984375,37091.7032989207
36391.46875,36622.68064196769
36215.75,36449.3414300632
36159.16015625,36197.54675779538
35619.76953125,36219.759730919955
36833.26953125,35643.87605202188
36581.76171875,36800.2072415441
36203.21875,36641.35070430907
36380.171875,36155.03826854634
37155.328125,36417.823331609274
37723.91015625,37104.00679081392
37940.58984375,37720.72487444182
37870.26171875,37935.965412632286
38925.62890625,37865.98360016646
39829.55859375,38882.07353883879
37919.55078125,39827.42030001761
38651.96875,37935.753776889396
37808.76171875,38600.58372379904
38552.05859375,37898.79947620245
38635.62109375,38407.44716832398
39332.73828125,38752.59334197441
38937.5390625,39238.74383543306
39277.9609375,39011.414853239956
39380.890625,39205.18176806858
39605.80078125,39415.44153700666
39910.55078125,39553.315878697395
39180.30078125,39923.57229559018
38911.19140625,39196.02423404057
38981.75,38892.92198399207
38954.6015625,39001.30956533072
38411.9609375,38940.20563449029
38104.859375,38444.79137786681
38143.2890625,38113.87567281695
37913.921875,38152.548017761954
38605.53125,37921.03586762143
38903.6796875,38585.0803034712
39277.390625,38930.2209378897
39081.25,39238.70157763031
38053.671875,39109.62160996913
38474.8984375,38050.940908165285
39480.671875,38443.631870661324
39381.41015625,39481.76496180147
39500.37109375,39368.031785403946
39533.3203125,39495.483504502685
39376.08984375,39548.64654334993
38721.66015625,39343.24635711571
38535.69921875,38744.82542370117
38642.91015625,38532.37662204838
38220.8515625,38657.8693158967
38414.4296875,38234.264581351905
38352.33984375,38413.8277286625
38026.171875,38383.49018163599
38283.8515625,38015.088401175766
38780.140625,38289.928778011985
38442.0,38773.37059383135
38134.96875,38447.04120329328
38349.05859375,38136.982322064345
38208.03125,38352.20766884445
38513.01953125,38203.19678179773
39248.859375,38496.840820749545
39276.390625,39250.90998523126
39395.6015625,39265.880790962576
39091.171875,39375.76676648201
39160.5,39106.88751719195
39367.578125,39123.14049898476
39372.23046875,39375.37573804678
39849.140625,39362.40965837051
39470.44140625,39837.49609929478
39457.48828125,39493.188498562115
39364.6796875,39425.87616792009
39081.7109375,39391.91302845333
38813.578125,39066.29020639606
38701.8984375,38833.62913504934
39161.33984375,38710.18546778644
39036.8515625,39152.155006619345
39130.4296875,39057.51005022763
39568.05859375,39114.166964666256
40281.16015625,39573.0453714938
39894.5390625,40243.96984811207
39307.05078125,39908.882124954085
40083.30078125,39297.64104994251
39981.05859375,40064.05867108637
39605.08984375,39983.97372475659
39190.3984375,39588.65633667759
38474.30078125,39242.252118968994
38444.578125,38476.70007519449
38572.6015625,38445.799431715976
38451.4609375,38598.86227671523
38902.5,38456.78587601338
39027.98046875,38905.53898037883
39646.25,39038.67417812593
39958.87109375,39604.726112879696
39931.98046875,39967.854872451855
39565.80078125,39901.85941610224
39016.87109375,39573.1445327339
39414.78125,39012.82797085553
39513.96875,39396.96083552293
39572.48828125,39531.597599460154
38520.08984375,39558.71799730571
38798.37109375,38576.38683737785
38831.48046875,38761.044033088096
39066.53125,38874.34316484685
