Actual,Predicted,TCN_trend,TCN_volatility,TCN_momentum
94284.7890625,94978.74563206905,2.9935658,4.834196,-0.8089873
94207.3125,94284.78751771,2.9943585,4.8260064,-0.6722956
96492.3359375,94207.31605898132,2.9950078,4.8290577,-0.6358455
96910.0703125,96492.34291107136,2.9949296,4.827249,-0.60470355
95891.796875,96910.10694004527,2.994244,4.823554,-0.4863643
94315.9765625,95891.81212975485,2.9948375,4.8385863,-0.58825576
94748.0546875,94315.98625610748,2.994968,4.84622,-0.6529518
96802.4765625,94748.08781702275,2.994905,4.8293786,-0.5012176
97032.3203125,96802.559531719,2.994742,4.819009,-0.40378985
103241.4609375,97032.32848922949,2.9945562,4.835753,-0.6262321
102970.8515625,103241.47261733156,2.9963262,4.8527994,-0.67365444
104696.328125,102970.90612059721,2.996509,4.8598547,-0.49597666
104106.359375,104696.35130002857,2.9972644,4.879364,-0.6807387
102812.953125,104106.39379932176,2.9968634,4.8804693,-0.59942114
104169.8125,102812.98006491785,2.9965727,4.8789606,-0.64066446
103539.4140625,104169.84387621687,2.9970262,4.877517,-0.6093505
103744.640625,103539.43352608505,2.9968085,4.8836617,-0.7596768
103489.2890625,103744.65845009226,2.9972665,4.885469,-0.8314932
103191.0859375,103489.31358512735,2.9974575,4.8866205,-0.69664776
106446.0078125,103191.11069314988,2.9974132,4.881258,-0.66892123
105606.1796875,106446.06883784749,2.9974399,4.8768625,-0.50517774
106791.0859375,105606.22287611559,2.997157,4.883219,-0.5671766
109678.078125,106791.11297530105,2.997685,4.8962135,-0.7269003
111673.28125,109678.1310017122,2.9980786,4.8969364,-0.56057096
107287.796875,111673.33580593053,2.9981558,4.898575,-0.5607304
107791.15625,107287.82561268397,2.9978826,4.910298,-0.72600645
109035.390625,107791.17962209517,2.9982638,4.9161057,-0.88355446
109440.3671875,109035.47291386701,2.9980752,4.8952084,-0.482623
108994.640625,109440.41807205143,2.9979694,4.895996,-0.5659474
107802.328125,108994.66238312588,2.998031,4.912779,-0.9020721
105641.7578125,107802.35227997563,2.998144,4.9135585,-0.84226704
103998.5703125,105641.81186927255,2.9983451,4.9002104,-0.5537977
104638.09375,103998.62111408151,2.9979146,4.8940024,-0.55334103
105652.1015625,104638.13109016579,2.99717,4.886486,-0.59863997
105881.53125,105652.15140135314,2.9972107,4.883477,-0.54363835
105432.46875,105881.56217645148,2.997848,4.892984,-0.6632831
104731.984375,105432.50022675321,2.9979062,4.897868,-0.675354
101575.953125,104732.04216102201,2.997756,4.891687,-0.52899766
104390.34375,101576.0139418391,2.9972873,4.883518,-0.50606656
105615.625,104390.38976729584,2.9972968,4.880963,-0.5508008
105793.6484375,105615.69255558764,2.9969475,4.8752155,-0.48772976
110294.1015625,105793.67348044785,2.9975467,4.8912315,-0.7229456
110257.234375,110294.13296517942,2.9982753,4.901461,-0.701571
108686.625,110257.2963103463,2.9981415,4.9002175,-0.53684926
105929.0546875,108686.65999649187,2.998077,4.9046082,-0.66055524
106090.96875,105929.08172463077,2.997966,4.91049,-0.748706
105472.40625,106091.00353951547,2.9977095,4.8970447,-0.6454719
105552.0234375,105472.4697793321,2.997527,4.8870006,-0.5092518
106796.7578125,105552.04653556041,2.9975939,4.897973,-0.83159757
104601.1171875,106796.78239595568,2.997862,4.8973866,-0.78527194
104883.328125,104601.15930797766,2.9978468,4.893281,-0.5889679
104684.2890625,104883.37329107274,2.9979372,4.8916917,-0.57287747
103309.6015625,104684.36252502879,2.9972754,4.8838477,-0.4828599
102257.40625,103309.6490781317,2.9969401,4.881994,-0.54544675
100987.140625,102257.43508282833,2.9972868,4.887686,-0.6533517
105577.7734375,100987.16690701919,2.9972272,4.8837686,-0.6588018
106045.6328125,105577.83445520945,2.9976027,4.872565,-0.49909568
107361.2578125,106045.7142727035,2.997212,4.8759537,-0.46295977
106960.0,107361.28305336357,2.9977217,4.8973927,-0.77239627
107088.4296875,106960.04264553574,2.9978945,4.900705,-0.605334
107327.703125,107088.4916093962,2.998005,4.8957624,-0.5262726
108385.5703125,107327.7699846567,2.997713,4.891142,-0.50865924
107135.3359375,108385.60007610341,2.9975598,4.899543,-0.7130295
105698.28125,107135.36223624802,2.9977093,4.9023895,-0.77057445
108859.3203125,105698.30651224128,2.998112,4.906439,-0.7874315
109647.9765625,108859.35623194081,2.9982865,4.8981376,-0.6474471
108034.3359375,109648.04470077275,2.9978957,4.8923345,-0.51048154
108231.1796875,108034.36356498819,2.9978933,4.906098,-0.74802256
109232.0703125,108231.205921901,2.9982293,4.913057,-0.778595
108299.8515625,109232.13994873707,2.9982553,4.9002395,-0.5147325
108950.2734375,108299.92148117193,2.998042,4.8977685,-0.5101253
111326.5546875,108950.29974988416,2.997997,4.909382,-0.7811013
115987.203125,111326.58722751764,2.9982214,4.9078903,-0.692076
117516.9921875,115987.27038668434,2.9987385,4.908609,-0.5314249
117435.2265625,117517.02890688727,2.9988294,4.9225383,-0.67039335
119116.1171875,117435.25254113865,2.998869,4.935053,-0.85976833
119849.703125,119116.15308867689,2.9990685,4.9343977,-0.6821727
117777.1875,119849.76161230743,2.9990745,4.9322624,-0.5636159
118738.5078125,117777.21517990084,2.9988966,4.9372487,-0.80187476
119289.84375,118738.49610377855,2.9990413,4.942334,-0.95733654
118003.2265625,119289.87252241993,2.9991517,4.937478,-0.7836554
117939.9765625,118003.25528909152,2.9991808,4.9374123,-0.77746546
117300.7890625,117940.00267801971,2.9991584,4.940627,-0.85873616
117439.5390625,117300.82047592105,2.9990385,4.936246,-0.7272689
119995.4140625,117439.58743284787,2.9990916,4.932141,-0.5986469
118754.9609375,119995.45393168983,2.9991684,4.935236,-0.65227205
118368.0,118754.99299781329,2.9990346,4.93784,-0.7238459
117635.8828125,118368.02980108421,2.9991956,4.9416885,-0.7577446
117947.3671875,117635.92086300618,2.9992008,4.939528,-0.65989983
119448.4921875,117947.41233185334,2.9990897,4.934203,-0.61549
117924.4765625,119448.53681292651,2.9990807,4.9343452,-0.62141925
117922.1484375,117924.50408542171,2.9990375,4.9399943,-0.8073319
117831.1875,117922.17604592137,2.9991999,4.94126,-0.80489314
115758.203125,117831.23096586356,2.999211,4.9370584,-0.62448364
113320.0859375,115758.24132771693,2.9989982,4.933446,-0.6539288
112526.9140625,113320.11515391998,2.9988816,4.933275,-0.7446629
114217.671875,112526.94366733846,2.9988477,4.9287786,-0.73477584
115071.8828125,114217.72908926765,2.998831,4.91989,-0.5583006
114141.4453125,115071.929468197,2.9988163,4.921965,-0.6020298
115028.0,114141.47280881832,2.9988177,4.929631,-0.783648
117496.8984375,115028.03785172393,2.998977,4.929474,-0.65471154
116688.7265625,117497.0250839052,2.9990463,4.9236417,-0.43295377
116500.359375,116688.78818457025,2.9988317,4.9265356,-0.54844433
119306.7578125,116500.3865717433,2.9988508,4.936147,-0.80688477
118731.4453125,119306.7912650418,2.9990928,4.9354095,-0.7083256
120172.90625,118731.49327536371,2.9991117,4.932973,-0.6030437
123344.0625,120172.93438693686,2.9992042,4.9405136,-0.80526316
118359.578125,123344.0927962661,2.999254,4.9429417,-0.7726747
117398.3515625,118359.60956885778,2.9991164,4.942519,-0.7309721
117491.3515625,117398.37709196769,2.99932,4.9462395,-0.88298017
117453.0625,117491.38687521807,2.9991267,4.936907,-0.6829951
116252.3125,117453.11445364733,2.9989066,4.928282,-0.58331466
